User-ID,User-Name,Location,Age,Password
114,User-114,"ligonier, pennsylvania, usa",57.0,u114
243,User-243,"arden hills, minnesota, usa",,u243
244,User-244,"college station, texas, usa",,u244
254,User-254,"minneapolis, minnesota, usa",24.0,u254
507,User-507,"dumas, arkansas, usa",,u507
638,User-638,"san diego, california, usa",20.0,u638
805,User-805,"sonoma, california, usa",34.0,u805
882,User-882,"berkeley, california, usa",23.0,u882
929,User-929,"king of prussia, ,",36.0,u929
1025,User-1025,"maidstone, england, united kingdom",33.0,u1025
1075,User-1075,"hurst, texas, usa",49.0,u1075
1131,User-1131,"berkeley, ,",22.0,u1131
1424,User-1424,"north avoca, new south wales, australia",,u1424
1435,User-1435,"st. louis, missouri, usa",36.0,u1435
1548,User-1548,"brooklyn, new york, usa",28.0,u1548
1585,User-1585,"albuquerque, new mexico, usa",29.0,u1585
1674,User-1674,"minneapolis, minnesota, usa",26.0,u1674
1733,User-1733,"independence, west virginia, usa",30.0,u1733
1848,User-1848,"bellingham, washington, usa",22.0,u1848
2012,User-2012,"bray, wicklow,",34.0,u2012
2033,User-2033,"omaha, nebraska, usa",27.0,u2033
2110,User-2110,"charlotte, north carolina, usa",,u2110
2139,User-2139,"chesapeake, virginia, usa",33.0,u2139
2179,User-2179,"sunderland, massachusetts, usa",30.0,u2179
2276,User-2276,"niskayuna, new york, usa",46.0,u2276
2288,User-2288,"spring hill, tennessee, usa",30.0,u2288
2313,User-2313,"cincinnati, ohio, usa",23.0,u2313
2337,User-2337,"grove city, ohio, usa",34.0,u2337
2766,User-2766,"frisco, texas, usa",42.0,u2766
2891,User-2891,"beaverton, oregon, usa",,u2891
2977,User-2977,"richland, washington, usa",25.0,u2977
3145,User-3145,"austin, texas, usa",34.0,u3145
3167,User-3167,"milwaukee, wisconsin, usa",42.0,u3167
3331,User-3331,"mckeesport, pennsylvania, usa",60.0,u3331
3346,User-3346,"tehran, tehran, iran",20.0,u3346
3363,User-3363,"knoxville, tennessee, usa",29.0,u3363
3371,User-3371,"groveland, massachusetts, usa",25.0,u3371
3373,User-3373,"elk grove, california, usa",30.0,u3373
3556,User-3556,"bismarck, north dakota, usa",68.0,u3556
3719,User-3719,"eielson afb, alaska, usa",18.0,u3719
3817,User-3817,"columbia, south carolina, usa",29.0,u3817
3827,User-3827,"orlando, florida, usa",23.0,u3827
3840,User-3840,"meriden, connecticut, usa",46.0,u3840
3917,User-3917,"toronto, ontario, canada",25.0,u3917
3923,User-3923,"vienna, ,",,u3923
4017,User-4017,"new orleans, louisiana, usa",48.0,u4017
4157,User-4157,"birmingham, alabama, usa",39.0,u4157
4221,User-4221,"n/a, connecticut, usa",,u4221
4622,User-4622,"norfolk, virginia, usa",18.0,u4622
4795,User-4795,"rochester, new york, usa",18.0,u4795
4938,User-4938,"charleston, south carolina, usa",30.0,u4938
5037,User-5037,"dodge center, minnesota, usa",26.0,u5037
5439,User-5439,"houston, texas, usa",66.0,u5439
5476,User-5476,"chester, ,",,u5476
5499,User-5499,"lakeland, tennessee,",60.0,u5499
5539,User-5539,"austin, texas, usa",32.0,u5539
5582,User-5582,"seattle, washington, usa",26.0,u5582
5728,User-5728,"cullowhee, north carolina, usa",22.0,u5728
5903,User-5903,"vienna, vienna, austria",25.0,u5903
6073,User-6073,"houston, texas, usa",28.0,u6073
6115,User-6115,"kerrville, texas, usa",,u6115
6238,User-6238,"silsden, keighley, west yorkshire, united kingdom",38.0,u6238
6242,User-6242,"calgary, alberta, canada",,u6242
6251,User-6251,"wahiawa, hawaii, usa",32.0,u6251
6323,User-6323,"wilmington, north carolina, usa",35.0,u6323
6431,User-6431,"wylie, texas, usa",30.0,u6431
6532,User-6532,"new westminster, british columbia, canada",,u6532
6537,User-6537,"norfolk, ,",28.0,u6537
6543,User-6543,"strafford, missouri, usa",34.0,u6543
6563,User-6563,"burien, washington, usa",31.0,u6563
6566,User-6566,"port angeles, washington, usa",,u6566
6575,User-6575,"seattle, washington, usa",,u6575
6577,User-6577,"coral springs, florida, usa",62.0,u6577
6611,User-6611,"oradea, n/a, romania",22.0,u6611
6772,User-6772,"calgary, ,",,u6772
7082,User-7082,"carlisle, pennsylvania, usa",,u7082
7105,User-7105,"chertsey, england, united kingdom",,u7105
7125,User-7125,"apo, ae, usa",28.0,u7125
7158,User-7158,"omaha, nebraska, usa",30.0,u7158
7210,User-7210,"rothesay, new brunswick, canada",,u7210
7283,User-7283,"saint marys, georgia, usa",30.0,u7283
7286,User-7286,"pasco, washington, usa",28.0,u7286
7346,User-7346,"sunnyvale, california, usa",49.0,u7346
7352,User-7352,"houston, texas, usa",53.0,u7352
7371,User-7371,"winnipeg, manitoba, canada",26.0,u7371
7620,User-7620,"knoxville, tennessee, usa",21.0,u7620
7841,User-7841,"salt lake city, utah, usa",,u7841
7887,User-7887,"altoona, pennsylvania, usa",23.0,u7887
7915,User-7915,"st. paul, minnesota, usa",,u7915
